# element    T_cond [K]
C	78
N	123
O	180
Zn	726
Na	958
Cu	1037
Mn	1158
Cr	1296
Fe	1334
Co	1352
Ni	1353
Eu	1356
Mg	1397
V	1429
Ba	1455
Sr	1464
Ce	1478
Ca	1517
Si	1529
La	1578
Ti	1582
Sm	1590
Nd	1602
Al	1653
Sc	1659
Y	1659
Zr	1741
S	704
K	1006
